year,month,state,data_status,revenue,megawatthours,customers,price,Unnamed: 0,average_temp,monthly_mean_from_1901_to_2000,centroid_lon,centroid_lat
2022,8,AL,Final,279750,2898830,7272,9.65,41808,80.3,79.6,-86.8283719359,32.7898321918
2022,8,AR,Final,140590,1665664,40582,8.44,41810,81.6,79.8,-92.4392676639,34.8997453322
2022,8,AZ,Final,118893,1278397,7828,9.3,41809,80.4,78.8,-111.664418336,34.2931098705
2022,8,CA,Final,957321,4889768,152069,19.58,41811,77.9,74.2,-119.610698951,37.2460706736
2022,8,CO,Final,132193,1351796,15174,9.78,41812,68.9,66.1,-105.547824721,38.9985518194
2022,8,CT,Final,40482,254487,3975,15.91,41813,74.4,69.6,-72.7257060428,41.6202863352
2022,8,DE,Final,20366,186392,864,10.93,41814,78.4,74.6,-75.4004040929,38.8870164548
2022,8,FL,Final,158546,1623193,24183,9.77,41815,82.9,81.0,-81.7974638723,28.6284392647
2022,8,GA,Final,346558,3083127,24842,11.24,41816,80.2,79.3,-83.4463418309,32.6492290722
2022,8,IA,Final,202889,2282028,9708,8.89,41820,73.1,72.6,-93.5000649605,42.0746268788
2022,8,ID,Final,84812,1098830,29443,7.72,41817,69.4,64.4,-114.659382348,44.0890895052
2022,8,IL,Final,345695,3703206,5499,9.34,41818,74.8,74.5,-89.1983967614,40.0650409125
2022,8,IN,Final,363258,3809628,19103,9.54,41819,74.2,73.5,-86.2756397346,39.9081412284
2022,8,KS,Final,96913,1066294,24740,9.09,41821,80.0,78.0,-98.3802131736,38.4847081514
2022,8,KY,Final,200512,2348809,5405,8.54,41822,76.9,75.6,-85.2904560935,37.5266674638
2022,8,LA,Final,315505,3562550,19862,8.86,41823,82.9,81.7,-92.5856620163,31.0584069584
2022,8,MA,Final,100213,544300,10566,18.41,41826,73.8,68.7,-71.7986394244,42.2533023991
2022,8,MD,Final,35017,320102,9168,10.94,41825,77.2,74.1,-76.7724546076,39.0369222963
2022,8,ME,Final,27563,253514,2192,10.87,41824,67.6,64.2,-69.2266474552,45.3714334913
2022,8,MI,Final,224741,2655220,5709,8.46,41827,68.8,67.0,-85.4371669561,44.3506813109
2022,8,MN,Final,177924,1841694,9554,9.66,41828,68.6,67.5,-94.3090126515,46.3163329315
2022,8,MO,Final,106394,1145293,9840,9.29,41830,78.0,76.8,-92.4774101578,38.3676131565
2022,8,MS,Final,102524,1439725,11330,7.12,41829,81.6,80.5,-89.6652136847,32.750866634
2022,8,MT,Final,39343,446555,14256,8.81,41831,69.4,64.8,-109.645148622,47.0335364218
