name,id,state,money_spent,lat,lng,money_spent_2010,average_temperature_2010,money_spent_2011,average_temperature_2011,money_spent_2012,average_temperature_2012,money_spent_2013,average_temperature_2013,money_spent_2014,average_temperature_2014,money_spent_2015,average_temperature_2015,money_spent_2016,average_temperature_2016,money_spent_2017,average_temperature_2017,money_spent_2018,average_temperature_2018,money_spent_2019,average_temperature_2019,money_spent_2020,average_temperature_2020,money_spent_2021,average_temperature_2021,money_spent_2022,average_temperature_2022,total_money_spent,state_encoded,cluster,cluster_avg,cluster_std,spender_class,predicted_roi
User_1927,00001,DE,"{'2010': 1573.3822193513479, '2011': 1467.0207703249996, '2012': 2005.1575298663854, '2013': 1761.9593542234254, '2014': 2239.5433841898875, '2015': 2110.1308130259226, '2016': 1704.5847795110226, '2017': 1700.2644300987179, '2018': 1813.8986426729796, '2019': 1312.7276705424254, '2020': 1512.1313212406455, '2021': 1533.2656872253883, '2022': 2406.8258749765346}",39.0971827655132,-74.90551815430841,1573.3822193513479,39.6,1467.0207703249996,47.1,2005.1575298663854,43.8,1761.9593542234254,42.8,2239.5433841898875,42.8,2110.1308130259226,51.2,1704.5847795110226,44.1,1700.2644300987179,41.8,1813.8986426729796,43.6,1312.7276705424254,41.8,1512.1313212406455,45.8,1533.2656872253883,44.6,2406.8258749765346,78.4,23140.89247724968,6,0,22989.968423306942,141.51124557658773,normal,1.0065219634070344
User_4389,00002,TX,"{'2010': 409.2113706337086, '2011': 508.5853715616102, '2012': 417.0044703168948, '2013': 471.54333935720746, '2014': 514.2184160335613, '2015': 456.4542409033979, '2016': 497.87278763176994, '2017': 430.82467299127495, '2018': 396.992110785795, '2019': 241.56507499120042, '2020': 213.21218062338048, '2021': 215.32717607572283, '2022': 320.8183327502614}",36.21621828725378,-100.09116110361818,409.2113706337086,52.9,508.5853715616102,51.5,417.0044703168948,55.0,471.54333935720746,48.8,514.2184160335613,51.1,456.4542409033979,54.4,497.87278763176994,55.3,430.82467299127495,54.0,396.992110785795,50.1,241.56507499120042,52.0,213.21218062338048,54.6,215.32717607572283,58.2,320.8183327502614,85.3,5093.629544655785,40,-1,58585.46487034453,53469.07713220362,normal,-9.501712944910206
User_9624,00003,NV,"{'2010': 1789.5542701996683, '2011': 1713.1038587086716, '2012': 1588.9373366937302, '2013': 1873.8030757118574, '2014': 1942.2145052805652, '2015': 1675.9420917868067, '2016': 1383.5828671407137, '2017': 1599.9323174802014, '2018': 1488.7563762526547, '2019': 1600.675040724065, '2020': 1329.535802186527, '2021': 1702.779550299197, '2022': 3611.611044685818}",41.786402516824594,-117.65238528432508,1789.5542701996683,36.5,1713.1038587086716,34.2,1588.9373366937302,37.4,1873.8030757118574,35.0,1942.2145052805652,38.6,1675.9420917868067,33.4,1383.5828671407137,36.8,1599.9323174802014,39.6,1488.7563762526547,35.7,1600.675040724065,37.5,1329.535802186527,36.4,1702.779550299197,38.8,3611.611044685818,75.0,23300.428137150477,30,-1,58585.46487034453,53469.07713220362,normal,-0.514351432750507
User_2810,00004,IA,"{'2010': 1310.9425745623473, '2011': 929.025756916391, '2012': 1038.6589501802882, '2013': 1025.7770977669368, '2014': 1150.6883919571633, '2015': 1074.859449884778, '2016': 1189.7621248897394, '2017': 1311.2089428001632, '2018': 1296.499945306606, '2019': 1280.366669510485, '2020': 1104.1041176817434, '2021': 1295.4100015415604, '2022': 2070.6285517312476}",40.589143846916244,-92.0491747328362,1310.9425745623473,28.6,929.025756916391,34.2,1038.6589501802882,33.4,1025.7770977669368,25.6,1150.6883919571633,28.8,1074.859449884778,37.5,1189.7621248897394,34.0,1311.2089428001632,30.3,1296.499945306606,29.0,1280.366669510485,30.8,1104.1041176817434,34.6,1295.4100015415604,35.6,2070.6285517312476,73.1,16077.932574729452,9,1,16149.064942304387,63.78055495449885,normal,0.9955757764722352
User_6239,00005,KY,"{'2010': 2803.939791857445, '2011': 2676.269799817244, '2012': 2771.2185318597913, '2013': 1977.6256669957024, '2014': 1793.9533845913516, '2015': 1708.8324845712973, '2016': 1889.4957640283174, '2017': 1810.4389514999546, '2018': 2298.5461135592636, '2019': 2109.8774311241314, '2020': 2182.7811924455655, '2021': 2944.3964181749, '2022': 3709.6544245283176}",37.68493683909294,-89.47253832668387,2803.939791857445,38.0,2676.269799817244,45.4,2771.2185318597913,43.1,1977.6256669957024,40.1,1793.9533845913516,39.8,1708.8324845712973,49.8,1889.4957640283174,43.4,1810.4389514999546,41.4,2298.5461135592636,41.2,2109.8774311241314,41.6,2182.7811924455655,43.6,2944.3964181749,45.5,3709.6544245283176,76.9,30677.02995505328,14,2,30363.062183314563,281.200960269559,normal,1.0102346208938326
User_3682,00006,LA,"{'2010': 672.2673465837541, '2011': 711.1371734429182, '2012': 685.3790845341202, '2013': 712.72163274774, '2014': 829.6014382264632, '2015': 768.8790256639613, '2016': 802.1962947406455, '2017': 840.0459176872412, '2018': 858.8344139889203, '2019': 729.1152764572673, '2020': 847.0351416988443, '2021': 1100.5889842186673, '2022': 1590.8077283088846}",30.237138800035563,-93.7403147660126,672.2673465837541,53.6,711.1371734429182,55.5,685.3790845341202,56.0,712.72163274774,52.3,829.6014382264632,53.4,768.8790256639613,60.9,802.1962947406455,58.6,840.0459176872412,56.2,858.8344139889203,53.7,729.1152764572673,54.4,847.0351416988443,56.4,1100.5889842186673,59.6,1590.8077283088846,82.9,11148.609458299428,15,3,11186.11998794881,35.660898027262384,normal,0.996635407331319
User_8579,00007,MN,"{'2010': 1285.3607463510957, '2011': 1056.5456235554057, '2012': 1030.341657900085, '2013': 1136.8049400252658, '2014': 1269.8374087354866, '2015': 1200.3839564061514, '2016': 1423.1444399432385, '2017': 1255.8825072951865, '2018': 1453.089327197855, '2019': 1369.7745294075728, '2020': 1282.148590930871, '2021': 1575.3783608516862, '2022': 1867.4599697955337}",48.46566490757142,-92.27105162009522,1285.3607463510957,21.1,1056.5456235554057,27.8,1030.341657900085,23.8,1136.8049400252658,16.3,1269.8374087354866,20.9,1200.3839564061514,30.6,1423.1444399432385,27.8,1255.8825072951865,20.4,1453.089327197855,21.5,1369.7745294075728,21.3,1282.148590930871,27.4,1575.3783608516862,25.2,1867.4599697955337,68.6,17206.152058395433,20,4,17180.761307106583,71.78620589846412,normal,1.0014756786527679
User_1183,00008,TN,"{'2010': 8043.046686659737, '2011': 7585.411618485575, '2012': 7864.2480466375255, '2013': 8555.676260012824, '2014': 8587.757780402315, '2015': 8132.638525864781, '2016': 9449.033595364961, '2017': 8920.366638395006, '2018': 10355.427772815097, '2019': 8428.982420690014, '2020': 8646.944760538747, '2021': 10926.0005528759, '2022': 16449.834582136387}",35.8117613181378,-85.97218167828584,8043.046686659737,41.2,7585.411618485575,46.9,7864.2480466375255,45.7,8555.676260012824,42.6,8587.757780402315,42.6,8132.638525864781,52.4,9449.033595364961,46.8,8920.366638395006,44.7,10355.427772815097,43.6,8428.982420690014,44.7,8646.944760538747,45.7,10926.0005528759,48.0,16449.834582136387,78.2,121945.36924087885,39,-1,58585.46487034453,53469.07713220362,high,1.5195761410618176
User_7593,00009,MA,"{'2010': 1115.7131549275243, '2011': 868.9142248825412, '2012': 772.8231219692998, '2013': 1023.2382823224493, '2014': 553.4817750772899, '2015': 602.5362435305237, '2016': 623.6289393581652, '2017': 782.7349834891949, '2018': 787.2861798499392, '2019': 695.2180394231689, '2020': 697.8992080313338, '2021': 761.4979349896208, '2022': 958.6125571663853}",42.1157500567363,-71.32386717308462,1115.7131549275243,34.4,868.9142248825412,40.6,772.8231219692998,37.0,1023.2382823224493,34.1,553.4817750772899,36.8,602.5362435305237,43.2,623.6289393581652,36.6,782.7349834891949,33.4,787.2861798499392,35.0,695.2180394231689,34.0,697.8992080313338,38.9,761.4979349896208,38.4,958.6125571663853,73.8,10243.584645017436,16,5,10240.528716334571,69.16504731870266,normal,1.0002983261025087
User_4922,00010,ID,"{'2010': 91.09296850410458, '2011': 85.16547356772726, '2012': 88.48528136955406, '2013': 104.56987585926238, '2014': 120.67312461784502, '2015': 90.42814908161579, '2016': 86.34358967604395, '2017': 92.83571758852442, '2018': 115.01808418445934, '2019': 94.2820020874902, '2020': 113.86548620274817, '2021': 115.80234750153608, '2022': 298.21182890057844}",44.034042358619736,-113.10294205255012,91.09296850410458,28.6,85.16547356772726,27.6,88.48528136955406,30.9,104.56987585926238,27.4,120.67312461784502,30.1,90.42814908161579,27.1,86.34358967604395,28.9,92.83571758852442,30.0,115.01808418445934,28.2,94.2820020874902,30.4,113.86548620274817,29.4,115.80234750153608,31.6,298.21182890057844,69.4,1496.7739291414898,10,6,1548.4189957398264,43.6574922834224,normal,0.9654957468239984
